Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Paavo Olavi Lonkila (Lng-),M,29,157,53.5,Finland,FIN,1952 Winter,1952,Winter,Oslo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Anita Lonsbrough (-Porter),F,19,178,70,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Gianni Lonzi,M,22,182,74,Italy,ITA,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Gold
Per Hkan Loob,M,33,178,80,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Fredrik Max Emil Lf,M,30,190,97,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's One Person Dinghy,Bronze
Fredrik Max Emil Lf,M,38,190,97,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Keelboat,Bronze
Fredrik Max Emil Lf,M,42,190,97,Sweden,SWE,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Keelboat,Gold
Lorne Kenneth Loomer,M,19,187,84,Canada,CAN,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Fours,Gold
Shelley Looney,F,26,165,64,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Shelley Looney,F,30,165,64,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
Braden LaVern Looper,M,21,195,100,United States,USA,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Bronze
Viljar Loor,M,26,196,96,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
Ronald Lopatny,M,24,188,91,Yugoslavia,YUG,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Gold
Andrey Vyacheslavovich Lopatov,M,23,205,96,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,Bronze
Carlos Alberto de Sousa Lopes,M,29,167,55,Portugal,POR,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",Silver
Carlos Alberto de Sousa Lopes,M,37,167,55,Portugal,POR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,Gold
Priscilla Lopes-Schliep,F,25,163,67,Canada,CAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,Bronze
Arlen Lpez Cardona,M,23,178,75,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,Gold
Claudio Javier Lpez Paulocci,M,22,178,77,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver
Diana Lopez,F,24,178,58,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Featherweight,Bronze
Elena Lpez Benaches,F,21,169,56,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Gustavo Adrin Lpez Pablo,M,23,174,73,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver
Hctor Lpez Coln,M,17,168,54,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,Silver
Jos Ramn Lpez Daz-Flor,M,25,180,81,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Juan Manuel Lpez Iturriaga,M,25,194,91,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Silver
Juan Martn Lpez,M,31,178,74,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Laura Lpez Valle,F,20,168,59,Spain,ESP,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Laura Lpez Ventosa,F,24,171,65,Spain,ESP,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Silver
Livn Lpez Azcuy,M,30,170,74,Cuba,CUB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Marc Lpez i Tarrs,M,34,175,71,Spain-2,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Gold
Mark Anthony Lopez,M,26,183,68,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver
Marta Lpez Herrero,F,22,168,64,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
Michel Lpez Nez,M,27,189,91,Cuba,CUB,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,Bronze
Mijan Lpez Nez,M,25,198,130,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Mijan Lpez Nez,M,29,198,130,Cuba,CUB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Mijan Lpez Nez,M,33,198,130,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Nicolas Pierre Lopez,M,27,180,60,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",Silver
Nicolas Pierre Lopez,M,27,180,60,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Gold
Ral Lpez Molist,M,28,184,80,Spain,ESP,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Silver
Sergio Lpez Mir,M,20,186,78,Spain,ESP,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Steven Lopez,M,21,191,83,United States,USA,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,Gold
Steven Lopez,M,25,191,83,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Welterweight,Gold
Steven Lopez,M,29,191,83,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Bronze
David Lpez-Zubero Purcell,M,21,177,75,Spain,ESP,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,Bronze
Martn Lpez-Zubero Purcell,M,23,188,78,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,Gold
"Alessandro ""Sandro"" Lopopolo",M,20,170,60,Italy,ITA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,Silver
Stanislav Yuryevich Lopukhov,M,23,194,85,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Ren Zacharie Alfred Lorain,M,20,175,68,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Yury Yevgenyevich Lorentsson,M,37,171,57,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Bronze
Yury Yevgenyevich Lorentsson,M,45,171,57,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Pairs,Silver
Dietmar Lorenz,M,30,180,93,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,Bronze
Dietmar Lorenz,M,30,180,93,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Open Class,Gold
Ericka Denise Lorenz,F,19,180,71,United States,USA,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Silver
Ericka Denise Lorenz,F,23,180,71,United States,USA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Bronze
Nike Lorenz,F,19,170,69,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
Wilfried Lorenz,M,32,169,68,Mutafo,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver
Tams Lrincz,M,25,172,75,Hungary,HUN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
Gnter Lrke,M,25,175,65,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Patrik Lrtscher,M,37,180,81,Switzerland,SUI,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling,Gold
Ketevan Losaberidze,F,30,162,75,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Archery,Archery Women's Individual,Gold
Claudia Losch,F,24,181,84,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Shot Put,Gold
Helmut Losch,M,28,179,108.5,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Venio Losert,M,19,191,93,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Gold
Venio Losert,M,28,191,93,Croatia,CRO,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,Gold
Venio Losert,M,36,191,93,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
Valery Anatolyevich Losev,M,32,199,89,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Silver
Viktor Vasilyevich Losev,M,29,170,69,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Gold
"Robert Gregory ""Greg"" Losey",M,34,188,82,United States,USA,1984 Summer,1984,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Jri Lossman,M,29,169,69,Estonia,EST,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,Silver
Peter Ltscher,M,31,184,85,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",Silver
Ingrid Lotz (Eichmann-),F,30,169,74,Germany,GER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Discus Throw,Silver
Lou Yun,M,20,158,53,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Team All-Around,Silver
Lou Yun,M,20,158,53,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Lou Yun,M,20,158,53,China,CHN,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,Gold
Lou Yun,M,24,158,53,China,CHN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Lou Yun,M,24,158,53,China,CHN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,Gold
Henry James Loubscher,M,20,179,65,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Welterweight,Bronze
"Gregory Efthimios ""Greg"" Louganis",M,16,175,73,United States,USA,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Platform,Silver
"Gregory Efthimios ""Greg"" Louganis",M,24,175,73,United States,USA,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Men's Springboard,Gold
"Gregory Efthimios ""Greg"" Louganis",M,24,175,73,United States,USA,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Men's Platform,Gold
"Gregory Efthimios ""Greg"" Louganis",M,28,175,73,United States,USA,1988 Summer,1988,Summer,Seoul,Diving,Diving Men's Springboard,Gold
"Gregory Efthimios ""Greg"" Louganis",M,28,175,73,United States,USA,1988 Summer,1988,Summer,Seoul,Diving,Diving Men's Platform,Gold
Toivo Aarne Loukola,M,25,173,60,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Constantine Michael Louloudis,M,20,190,92,Great Britain,GBR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
Constantine Michael Louloudis,M,24,190,92,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
Lzr Lovsz,M,26,189,99,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Hammer Throw,Bronze
Yevgeny Serafimovich Lovchev,M,23,170,70,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Bronze
Kevin Wesley Love,M,23,208,118,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Gold
Herbert Arthur Loveitt,M,26,180,71,Moseley Wanderers,GBR,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
Lea E. Loveless (-Maurer),F,21,167,61,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Lea E. Loveless (-Maurer),F,21,167,61,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
"John Clay Lovell, III",M,36,170,77,United States,USA,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Multihull,Silver
Clyde Edward Lovellette,M,22,205,104,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
"John Edward ""Jack"" Lovelock",M,26,169,61,New Zealand,NZL,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 1,500 metres",Gold
Vladimir Nikolayevich Lovetsky,M,20,186,83,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Lars Stefan Lvgren,M,25,191,96,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Silver
Lars Stefan Lvgren,M,29,191,96,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Silver
Fia Lovin (Rafira-),F,33,166,57,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,Bronze
Ladislau Lovrenschi,M,40,158,52,Romania,ROU,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Pairs,Bronze
Ladislau Lovrenschi,M,56,158,52,Romania,ROU,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours,Silver
"Anthony ""Tony"" Lovrich",M,22,185,86,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Silver
"Kenneth ""Ken"" Lovsin",M,27,185,89,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
"Lawrence Edgar ""Larry"" Low",M,36,188,91,Kathleen,USA,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed Two Person Keelboat,Gold
Caitlin Lowe,F,23,170,57,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
David Lowe,M,20,178,75,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Douglas Gordon Arthur Lowe,M,21,183,70,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 800 metres,Gold
Douglas Gordon Arthur Lowe,M,25,183,70,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 800 metres,Gold
Gabriele Lwe (Kotte-),F,21,172,60,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Karsta Lowe,F,23,193,82,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
Sara Elizabeth Lowe,F,20,167,56,United States,USA,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Wolfgang Lwe,M,19,185,72,East Germany,GDR,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,Silver
Wolfram Lwe,M,31,174,75,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,Gold
Steven Garrett Lowney,M,20,185,96,United States,USA,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Kyle Lowry,M,30,183,93,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Dra Mercedesz Lwy,F,23,172,65,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Silver
Brian Richard Loyd,M,22,188,91,United States,USA,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,Bronze
Nelson Loyola Torriente,M,32,184,80,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",Bronze
Demetrio Lozano Jarque,M,20,196,100,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze
Demetrio Lozano Jarque,M,24,196,100,Spain,ESP,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,Bronze
Demetrio Lozano Jarque,M,32,196,100,Spain,ESP,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Bronze
Rafael Lozano Muoz,M,26,150,48,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,Bronze
Rafael Lozano Muoz,M,30,150,48,Spain,ESP,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,Silver
Boko Lozica,M,27,195,95,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Silver
Valeriy Viktorovych Lozik,M,20,189,81,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Heidi Lke,F,29,173,68,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
Heidi Lke,F,33,173,68,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
Sverre Bertrand Lken,M,24,190,85,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Bronze
Helge Andreas Lvland,M,29,188,84,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Decathlon,Gold
Lu Bin,F,15,165,53,China,CHN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Lu Chunlong,M,19,170,58,China,CHN,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Men's Individual,Gold
Lu Chunlong,M,23,170,58,China,CHN,2012 Summer,2012,Summer,London,Trampolining,Trampolining Men's Individual,Bronze
Lu Haojie,M,21,175,77,China,CHN,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Silver
Lu Li,F,15,136,30,China,CHN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Lu Li,F,15,136,30,China,CHN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,Silver
Lu Lin,M,23,174,60,China-1,CHN,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Doubles,Gold
Lu Lin,M,27,174,60,China-1,CHN,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Doubles,Silver
Lu Xiaojun,M,27,172,77,China,CHN,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middleweight,Gold
Lu Xiaojun,M,32,172,77,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,Silver
Lu Xiuzhi,F,22,160,45,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,Bronze
Lu Ying,F,23,175,65,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,Silver
Lu Ying-Chi,F,23,157,63,Chinese Taipei,TPE,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Middleweight,Bronze
Lu Yong,M,22,175,85,China,CHN,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Lu Yuanyang,F,25,174,54,China,CHN,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Lu Zhiwu,M,23,182,76,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Luan Guilherme de Jesus Vieira,M,23,180,71,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Jujie Luan,F,26,170,55,China,CHN,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Individual",Gold
Luan Garcia Teixeira,M,23,183,79,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Wodzimierz Leonard Lubaski,M,25,178,77,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold
Leszek Wadysaw Lubicz-Nycz,M,32,171,64,Poland,POL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Bronze
Zbigniew Lubiejewski,M,26,187,82,Poland,POL,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Frank John Lubin,M,26,200,113,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
Marcel-Frdric Lubin-Lebrre,M,32,181,92,France,FRA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver
Ladislav Lubina,M,24,185,82,Czechoslovakia,TCH,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Ralf Lbke,M,23,192,80,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
"Walter Harry ""Chip"" Lubsen, Jr.",M,29,195,89,United States,USA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Silver
Ricardo Samuel Lucarelli Santos de Souza,M,24,195,79,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Lucas Pezzini Leiva,M,21,179,74,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
Lucas Rodrigues Moura da Silva,M,19,173,81,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
Carlos Lucas Manrquez,M,26,168,75,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Heavyweight,Bronze
Jerry Ray Lucas,M,20,203,103,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
Andrea Lucchetta,M,21,194,82,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Bronze
Pier Paolo Lucchetta,M,21,198,99,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Bronze
Jean-Michel Lucenay,M,38,186,78,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Gold
Rosario Luchetti,F,24,160,57,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze
Rosario Luchetti,F,28,160,57,Argentina,ARG,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Silver
Frank Luck,M,26,179,76,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 20 kilometres,Silver
Frank Luck,M,26,179,76,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Frank Luck,M,30,179,76,Germany,GER,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
Frank Luck,M,34,179,76,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,Silver
Frank Luck,M,34,179,76,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Hans-Joachim Lck,M,23,191,88,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,Gold
Karl-Heinz Luck,M,27,175,65,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Nordic Combined,Nordic Combined Men's Individual,Bronze
